Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-08-23 16:39:55.247 +0100,"Success",0:00:01,0,0,0,"20170823_163955.247/LogFile.txt","","",1
2017-08-23 16:40:35.691 +0100,"Success",0:00:01,0,0,0,"20170823_164035.691/LogFile.txt","","",1
2017-08-23 16:58:51.140 +0100,"Success",0:00:01,0,0,0,"20170823_165851.140/LogFile.txt","","",1
2017-08-23 16:59:45.685 +0100,"Success",0:00:01,0,0,0,"20170823_165945.685/LogFile.txt","","",1
2017-08-23 17:03:42.831 +0100,"Success",0:00:01,0,0,0,"20170823_170342.831/LogFile.txt","","",1
2017-08-23 17:04:39.677 +0100,"Failure",0:00:00,1,0,0,"20170823_170439.677/LogFile.txt","","STFileException -- Attempt to access unopened file: ",0
2017-08-23 17:04:46.662 +0100,"Success",0:00:01,0,0,0,"20170823_170446.662/LogFile.txt","","",1
2017-08-24 09:39:24.738 +0100,"Success",0:00:01,0,0,0,"20170824_093924.738/LogFile.txt","","",1
2017-08-24 09:43:31.399 +0100,"Success",0:00:01,0,0,0,"20170824_094331.399/LogFile.txt","","",1
2017-08-24 09:50:28.986 +0100,"Success",0:00:01,0,0,0,"20170824_095028.986/LogFile.txt","","",1
2017-08-24 09:51:42.324 +0100,"Success",0:00:01,0,0,0,"20170824_095142.324/LogFile.txt","","",1
2017-08-24 09:59:56.036 +0100,"Success",0:00:00,0,0,0,"20170824_095956.036/LogFile.txt","","",1
2017-08-24 10:01:04.392 +0100,"Success",0:00:01,0,0,0,"20170824_100104.392/LogFile.txt","","",1
2017-08-24 10:02:02.076 +0100,"Success",0:00:01,0,0,0,"20170824_100202.076/LogFile.txt","","",1
2017-08-24 10:07:28.014 +0100,"Success",0:00:01,0,0,0,"20170824_100728.014/LogFile.txt","","",1
2017-08-24 10:14:54.586 +0100,"Success",0:00:01,0,0,0,"20170824_101454.586/LogFile.txt","","",1
2017-08-24 10:20:11.487 +0100,"Success",0:00:01,0,0,0,"20170824_102011.487/LogFile.txt","","",1
2017-08-24 10:22:01.678 +0100,"Success",0:00:01,0,0,0,"20170824_102201.678/LogFile.txt","","",1
2017-08-24 10:23:12.979 +0100,"Success",0:00:01,0,0,0,"20170824_102312.979/LogFile.txt","","",1
2017-08-24 10:24:58.596 +0100,"Success",0:00:01,0,0,0,"20170824_102458.596/LogFile.txt","","",1
2017-08-24 10:27:33.209 +0100,"Success",0:00:01,0,0,0,"20170824_102733.209/LogFile.txt","","",1
2017-08-24 10:28:43.234 +0100,"Success",0:00:01,0,0,0,"20170824_102843.234/LogFile.txt","","",1
2017-08-24 10:29:58.130 +0100,"Success",0:00:01,0,0,0,"20170824_102958.130/LogFile.txt","","",1
2017-08-24 10:31:48.356 +0100,"Success",0:00:01,0,0,0,"20170824_103148.356/LogFile.txt","","",1
2017-08-24 10:32:19.622 +0100,"Success",0:00:00,0,0,0,"20170824_103219.622/LogFile.txt","","",1
2017-08-24 10:34:17.912 +0100,"Success",0:00:01,0,0,0,"20170824_103417.912/LogFile.txt","","",1
2017-08-24 10:41:58.067 +0100,"Success",0:00:00,0,0,0,"20170824_104158.067/LogFile.txt","","",1
2017-08-24 10:42:54.681 +0100,"Success",0:00:01,0,0,0,"20170824_104254.681/LogFile.txt","","",1
2017-08-24 10:57:21.949 +0100,"Success",0:00:01,0,0,0,"20170824_105721.949/LogFile.txt","","",1
2017-08-24 13:35:21.885 +0100,"Failure",0:00:00,1,0,0,"20170824_133521.885/LogFile.txt","","SenseTalk Compiler Exception -- in screenshot:\nSyntax Error at line 24: Syntax Error - can't understand ""Screenshot"" at or near character 475",0
2017-08-24 13:36:19.757 +0100,"Success",0:00:00,0,0,0,"20170824_133619.757/LogFile.txt","","",1
2017-08-24 14:09:55.779 +0100,"Failure",0:00:00,1,0,0,"20170824_140955.779/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'assertionfailcount'",0
2017-08-24 16:51:30.353 +0100,"Failure",0:00:01,1,0,0,"20170824_165130.353/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'capturethescreenshot'",0
2017-08-24 16:52:00.604 +0100,"Success",0:00:01,0,0,0,"20170824_165200.604/LogFile.txt","","",1
2017-08-24 17:10:45.844 +0100,"Success",0:00:01,0,0,0,"20170824_171045.844/LogFile.txt","","",1
2017-08-25 10:08:02.739 +0100,"Failure",0:00:00,1,0,0,"20170825_100802.739/LogFile.txt","","Unable To Capture Screen -- No connection available from which to capture.",0
